ClusterNumber,Nhc,Nc,Hc,Nz,Hz,NzNHc,HzNHc,NzNc,HzNc,NzHc,HzHc
14,1,2,3,4,3,1,3,5,3,3,3
8,1,2,2,3,2,3,1,3,1,1,2
2,1,2,3,4,3,5,1,4,1,6,3
5,1,2,3,2,3,1,1,2,3,3,3
17,1,2,3,4,3,5,1,6,3,3,1
11,1,2,3,4,3,5,5,6,3,3,1
13,1,2,3,4,3,5,3,6,3,3,3
7,1,2,2,3,4,3,5,6,4,5,2
1,1,2,3,4,3,5,1,4,1,6,3
4,1,2,3,2,3,1,1,2,3,3,3
16,1,2,3,4,3,5,1,6,3,3,1
10,1,2,3,4,3,5,5,6,3,3,1
15,1,2,3,4,3,5,3,6,3,3,3
9,1,2,2,3,4,3,4,1,4,4,2
3,1,2,3,4,3,5,1,4,1,6,3
6,1,2,3,2,3,1,1,2,3,3,3
18,1,2,3,4,3,5,1,6,3,3,1
12,1,2,3,4,3,5,1,6,3,3,1
